Active season,Player,Team,Conference,Date,Position,Height,Weight,Age,Draft Year,Seasons in league,Season,Season short,Real_value
0,Paul Pierce,Boston Celtics,East,"Apr 7, 2002",SF,6-7,235,24,1998,3,2001-2002,2002,0.5
0,Tim Duncan,San Antonio Spurs,West,"Apr 7, 2002",FC,6-11,250,25,1997,4,2001-2002,2002,0.5
0,Ben Wallace,Detroit Pistons,East,"Mar 31, 2002",FC,6-9,240,27,1996,5,2001-2002,2002,0.5
0,Shawn Marion,Phoenix Suns,West,"Mar 31, 2002",F,6-7,228,23,1999,2,2001-2002,2002,0.5
0,Jason Kidd,New Jersey Nets,East,"Mar 24, 2002",PG,6-4,210,28,1994,7,2001-2002,2002,0.5
0,Tim Duncan,San Antonio Spurs,West,"Mar 24, 2002",FC,6-11,250,25,1997,4,2001-2002,2002,0.5
0,Tracy McGrady,Orlando Magic,East,"Mar 17, 2002",GF,6-8,210,22,1997,4,2001-2002,2002,0.5
0,Tim Duncan,San Antonio Spurs,West,"Mar 17, 2002",FC,6-11,250,25,1997,4,2001-2002,2002,0.5
0,Kurt Thomas,New York Knicks,East,"Mar 10, 2002",FC,6-9,240,29,1995,6,2001-2002,2002,0.5
0,Shaquille O'Neal,Los Angeles Lakers,West,"Mar 10, 2002",C,7-1,325,29,1992,9,2001-2002,2002,0.5
0,Allen Iverson,Philadelphia Sixers,East,"Mar 3, 2002",G,6-0,165,26,1996,5,2001-2002,2002,0.5
0,Rasheed Wallace,Portland Trail Blazers,West,"Mar 3, 2002",FC,6-11,230,27,1995,6,2001-2002,2002,0.5
0,Ben Wallace,Detroit Pistons,East,"Feb 24, 2002",FC,6-9,240,27,1996,5,2001-2002,2002,0.5
0,Shaquille O'Neal,Los Angeles Lakers,West,"Feb 24, 2002",C,7-1,325,29,1992,9,2001-2002,2002,0.5
0,Andre Miller,Cleveland Cavaliers,East,"Feb 17, 2002",PG,6-3,200,25,1999,2,2001-2002,2002,0.5
0,Karl Malone,Utah Jazz,West,"Feb 17, 2002",PF,6-9,265,38,1985,16,2001-2002,2002,0.5
0,Jason Kidd,New Jersey Nets,East,"Feb 3, 2002",PG,6-4,210,28,1994,7,2001-2002,2002,0.5
0,Shaquille O'Neal,Los Angeles Lakers,West,"Feb 3, 2002",C,7-1,325,29,1992,9,2001-2002,2002,0.5
0,Allen Iverson,Philadelphia Sixers,East,"Jan 27, 2002",G,6-0,165,26,1996,5,2001-2002,2002,0.5
